id_numbers,marca,produto,nome_tom,tom_especifico,luminosidade,codigo_hex,numero_tom,tom_unificado,id_produto,id_produto_origem,grupo_de_tom
1,makeup revolution,conceal & define full coverage foundation,,f0,94.9019607843137,#f2f2f2,0.0,f0,83,1.0,Claro / Light
2,hourglass,veil fluid makeup,porcelain,no. 0,81.7647058823529,#f6d3ab,0.0,no. 0,50,2.0,Claro / Light
3,tom ford,traceless soft matte foundation,pearl,0.0,85.0980392156863,#f0d8c2,0.0,0.0,123,3.0,Claro / Light
4,armani beauty,neo nude foundation,,0,91.1764705882353,#f0e8e1,0.0,0,10,4.0,Claro / Light
5,tom ford,traceless foundation stick,pearl,0.0,91.1764705882353,#fde5d4,0.0,0.0,122,5.0,Claro / Light
6,charlotte tilbury,magic foundation,,0,73.1372549019608,#d9ae9c,0.0,0,24,6.0,Médio / Medium
7,bobbi brown,skin weightless powder foundation,porcelain,0,82.156862745098,#f3c9b0,0.0,0,20,7.0,Claro / Light
8,givenchy,matissime velvet radiant mattifying fluid foundation spf 20,,n00,83.1372549019608,#f5d8b3,0.0,n00,47,8.0,Claro / Light
9,smashbox,studio skin 24 hour full coverage waterproof foundation,,0.1,81.3725490196078,#f8cda7,0.1,0.1,120,9.0,Claro / Light
10,smashbox,studio skin 24 hour oil-free hydra foundation,,0.1,90.9803921568627,#f9e4d7,0.1,0.1,121,10.0,Claro / Light
11,makeup revolution,conceal & define satte matte powder foundation,,p0.1,91.9607843137255,#f5e9e0,0.1,p0.1,84,11.0,Claro / Light
12,makeup revolution,conceal & define full coverage foundation,,f0.1,75.6862745098039,#d4c2ae,0.1,f0.1,83,1.0,Claro / Light
13,tom ford,traceless soft matte foundation,cameo,0.1,84.7058823529412,#eed8c2,0.1,0.1,123,3.0,Claro / Light
14,tom ford,traceless foundation stick,cameo,0.1,88.4313725490196,#f5e2ce,0.1,0.1,122,5.0,Claro / Light
15,smashbox,primer + foundation customizable set,smashbox,0.1,80.0,#e9c9af,0.1,0.1,119,12.0,Claro / Light
16,smashbox,studio skin 24 hour full coverage waterproof foundation,,0.2,75.8823529411765,#f0be93,0.2,0.2,120,9.0,Claro / Light
17,makeup revolution,conceal & define satte matte powder foundation,,p0.2,93.52941176470591,#f9efe4,0.2,p0.2,84,11.0,Claro / Light
18,makeup revolution,conceal & define full coverage foundation,,f0.2,77.4509803921569,#e1cdaa,0.2,f0.2,83,1.0,Claro / Light
19,smashbox,primer + foundation customizable set,smashbox,0.2,74.3137254901961,#e4b697,0.2,0.2,119,12.0,Médio / Medium
20,clinique,beyond perfecting powder foundation + concealer,dune,0.25,91.7647058823529,#fbeed9,0.25,0.25,28,,Claro / Light
21,ofra cosmetics,absolute cover foundation,,0.25,64.7058823529412,#c9ad81,0.25,0.25,97,13.0,Médio / Medium
22,smashbox,studio skin 24 hour full coverage waterproof foundation,,0.3,78.4313725490196,#f4c59c,0.3,0.3,120,9.0,Claro / Light
23,smashbox,studio skin 24 hour oil-free hydra foundation,,0.3,90.0,#f5e2d6,0.3,0.3,121,10.0,Claro / Light
24,makeup revolution,conceal & define full coverage foundation,,f0.3,68.8235294117647,#cdb392,0.3,f0.3,83,1.0,Médio / Medium
25,tom ford,traceless soft matte foundation,ivory silk,0.3,79.2156862745098,#e4ccb0,0.3,0.3,123,3.0,Claro / Light
26,tom ford,traceless foundation stick,ivory silk,0.3,77.84313725490199,#eec49f,0.3,0.3,122,5.0,Claro / Light
27,smashbox,primer + foundation customizable set,smashbox,0.3,73.3333333333333,#dab49c,0.3,0.3,119,12.0,Médio / Medium
28,tom ford,traceless soft matte foundation,rose,0.4,79.6078431372549,#e4c7b2,0.4,0.4,123,3.0,Claro / Light
29,tom ford,traceless foundation stick,rose,0.4,68.8235294117647,#d3a58c,0.4,0.4,122,5.0,Médio / Medium
30,smashbox,studio skin 24 hour full coverage waterproof foundation,,0.5,71.5686274509804,#e6ae87,0.5,0.5,120,9.0,Médio / Medium
31,bareminerals,barepro performance wear powder foundation,porcelain,0.5,84.3137254901961,#fcc8b2,0.5,0.5,131,14.0,Claro / Light
32,clinique,beyond perfecting powder foundation + concealer,breeze,0.5,83.3333333333333,#f7c9b2,0.5,0.5,28,,Claro / Light
33,makeup revolution,conceal & define full coverage foundation,,f0.5,82.7450980392157,#ecc7ba,0.5,f0.5,83,1.0,Claro / Light
34,clinique,beyond perfecting foundation + concealer,shell,cn 0.5,92.156862745098,#f7eadf,0.5,cn 0.5,27,,Claro / Light
35,urban decay cosmetics,all nighter liquid full coverage foundation,,0.5,76.4705882352941,#ddc1a9,0.5,0.5,126,15.0,Claro / Light
36,bareminerals,barepro performance wear liquid foundation broad spectrum spf 20,porcelain,0.5,84.3137254901961,#fcc8b2,0.5,0.5,130,16.0,Claro / Light
37,bareminerals,barepro longwear powder foundation,porcelain,0.5,87.25490196078431,#fcd3c1,0.5,0.5,129,17.0,Claro / Light
38,bareminerals,barepro™ 24 hour longwear liquid foundation with mineral spf 20,porcelain,0.5,88.2352941176471,#fdd8c5,0.5,0.5,132,18.0,Claro / Light
39,tom ford,traceless soft matte foundation,porcelain,0.5,79.4117647058823,#e2ccb3,0.5,0.5,123,3.0,Claro / Light
40,tom ford,traceless foundation stick,porcelain,0.5,86.4705882352941,#f8d5c1,0.5,0.5,122,5.0,Claro / Light
41,smashbox,primer + foundation customizable set,smashbox,0.5,71.9607843137255,#d2ab9d,0.5,0.5,119,12.0,Médio / Medium
42,makeup revolution,conceal & define full coverage foundation,,f0.7,71.5686274509804,#d2b89b,0.7,f0.7,83,1.0,Médio / Medium
43,clinique,beyond perfecting foundation + concealer,custard,cn 0.75,90.3921568627451,#f5e5d8,0.75,cn 0.75,27,,Claro / Light
44,benefit cosmetics,hello happy air stick foundation spf 20,,shade 1,82.54901960784309,#f0d2b5,1.0,shade 1,13,19.0,Claro / Light
45,benefit cosmetics,hello happy flawless brightening foundation spf 15,fair cool,shade 1,81.7647058823529,#eacfb7,1.0,shade 1,14,20.0,Claro / Light
46,benefit cosmetics,hello happy velvet powder foundation,fair cool,shade 1,80.3921568627451,#e3cfb7,1.0,shade 1,16,21.0,Claro / Light
47,nudestix,tinted cover foundation,nude,1,89.8039215686275,#f3dfd7,1.0,1,93,22.0,Claro / Light
48,smashbox,studio skin 24 hour full coverage waterproof foundation,,1.0,70.1960784313725,#e5ac81,1.0,1.0,120,9.0,Médio / Medium
49,smashbox,studio skin 24 hour oil-free hydra foundation,,1.0,82.156862745098,#f1c6b2,1.0,1.0,121,10.0,Claro / Light
50,bareminerals,matte foundation broad spectrum spf 15,fair,01,90.1960784313726,#fde3cf,1.0,01,137,23.0,Claro / Light
51,makeup revolution,fast base stick foundation,,f1,73.921568627451,#d8bda1,1.0,f1,87,24.0,Médio / Medium
52,makeup revolution,conceal & define satte matte powder foundation,,p1,90.7843137254902,#f4e7db,1.0,p1,84,11.0,Claro / Light
53,bareminerals,original foundation broad spectrum spf 15,fair,01,90.1960784313726,#fde3cf,1.0,01,139,25.0,Claro / Light
54,bareminerals,barepro performance wear powder foundation,fair,01,83.7254901960784,#fbcdb0,1.0,01,131,14.0,Claro / Light
55,clinique,almost powder makeup,fair,01,95.0980392156863,#f4f3f1,1.0,01,26,,Claro / Light
56,bareminerals,complexion rescue hydrating foundation stick broad spectrum spf 25,opal,01,80.1960784313726,#f3c1a6,1.0,01,135,26.0,Claro / Light
57,makeup revolution,conceal & hydrate foundation,,f1,80.9803921568627,#e6cbb7,1.0,f1,86,27.0,Claro / Light
58,makeup revolution,conceal & define full coverage foundation,,f1,83.5294117647059,#f3d4b7,1.0,f1,83,1.0,Claro / Light
59,makeup revolution,conceal & glow foundation,,f1,81.5686274509804,#edccb3,1.0,f1,85,28.0,Claro / Light
60,pacifica,alight clean foundation,cool deep,01cd,31.3725490196078,#7c4024,1.0,01cd,100,29.0,Escuro / Dark
61,jane iredale,beyond matte liquid foundation,,m1,81.7647058823529,#fccda5,1.0,m1,144,30.0,Claro / Light
62,clinique,beyond perfecting foundation + concealer,flax,wn 01,89.60784313725489,#efe3da,1.0,wn 01,27,,Claro / Light
63,urban decay cosmetics,all nighter liquid full coverage foundation,,1.0,74.3137254901961,#dec09d,1.0,1.0,126,15.0,Médio / Medium
64,bareminerals,barepro performance wear liquid foundation broad spectrum spf 20,fair,01,83.7254901960784,#fbcdb0,1.0,01,130,16.0,Claro / Light
65,physicians formula,the healthy foundation spf 20,,dpc1,37.6470588235294,#92572e,1.0,dpc1,101,31.0,Escuro / Dark
66,bareminerals,original liquid mineral foundation broad spectrum spf 20,fair,01,83.1372549019608,#fbcdad,1.0,01,140,32.0,Claro / Light
67,lorac,pro soft focus longwear foundation,,01,80.0,#e8cdb0,1.0,01,67,33.0,Claro / Light
68,hourglass,veil fluid makeup,ivory,no. 1,75.8823529411765,#e8b89b,1.0,no. 1,50,2.0,Claro / Light
69,ilia,super serum skin tint spf 40 foundation,rendevous,1,90.7843137254902,#fee4d1,1.0,1,53,34.0,Claro / Light
70,beautyblender,bounce™ liquid whip long wear foundation,cool,1.00,94.3137254901961,#fcf0e5,1.0,1.00,142,35.0,Claro / Light
71,bareminerals,complexion rescue™ tinted moisturizer with hyaluronic acid and mineral spf 30,opal,01,84.7058823529412,#ecd0c4,1.0,01,134,36.0,Claro / Light
72,bareminerals,barepro longwear powder foundation,fair,01,86.6666666666667,#f6d8c4,1.0,01,129,17.0,Claro / Light
73,pat mcgrath labs,sublime perfection foundation,light,1,92.35294117647061,#fce7db,1.0,1,99,37.0,Claro / Light
74,bareminerals,barepro™ 24 hour longwear liquid foundation with mineral spf 20,fair,01,87.0588235294118,#f1dfcb,1.0,01,132,18.0,Claro / Light
75,bareminerals,matte loose powder mineral foundation spf 15,fair,01,70.7843137254902,#ceb29b,1.0,01,138,38.0,Médio / Medium
76,sephora collection,make no mistake foundation & concealer stick,driftwood,1,79.4117647058823,#e8c6ad,1.0,1,110,39.0,Claro / Light
77,laura mercier,smooth finish foundation powder,,1,79.2156862745098,#fccd98,1.0,1,76,40.0,Claro / Light
78,kosas,tinted face oil foundation,tone,01,86.8627450980392,#f1deca,1.0,01,65,41.0,Claro / Light
79,armani beauty,power fabric longwear high cover foundation spf 25,,1,75.49019607843141,#e3b39e,1.0,1,11,42.0,Claro / Light
80,charlotte tilbury,light wonder foundation,fair,1,85.6862745098039,#ebd8ca,1.0,1,23,43.0,Claro / Light
