brand,product,name,specific,lightness,hex,lightToDark,numbers,id
Makeup Revolution,Conceal & Define Full Coverage Foundation,,F0,0.949019607843137,#F2F2F2,True,0.0,1.0
HOURGLASS,Veil Fluid Makeup,Porcelain,No. 0,0.817647058823529,#F6D3AB,True,0.0,2.0
TOM FORD,Traceless Soft Matte Foundation,Pearl,0.0,0.850980392156863,#F0D8C2,True,0.0,3.0
Armani Beauty,Neo Nude Foundation,,0,0.911764705882353,#F0E8E1,True,0.0,4.0
TOM FORD,Traceless Foundation Stick,Pearl,0.0,0.911764705882353,#FDE5D4,True,0.0,5.0
Charlotte Tilbury,Magic Foundation,,0,0.731372549019608,#D9AE9C,True,0.0,6.0
Bobbi Brown,Skin Weightless Powder Foundation,Porcelain,0,0.82156862745098,#F3C9B0,True,0.0,7.0
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,,N00,0.831372549019608,#F5D8B3,True,0.0,8.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,0.1,0.813725490196078,#F8CDA7,True,0.1,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,0.1,0.909803921568627,#F9E4D7,True,0.1,10.0
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,,P0.1,0.919607843137255,#F5E9E0,True,0.1,11.0
Makeup Revolution,Conceal & Define Full Coverage Foundation,,F0.1,0.756862745098039,#D4C2AE,True,0.1,1.0
TOM FORD,Traceless Soft Matte Foundation,Cameo,0.1,0.847058823529412,#EED8C2,True,0.1,3.0
TOM FORD,Traceless Foundation Stick,Cameo,0.1,0.884313725490196,#F5E2CE,True,0.1,5.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,0.1,0.8,#E9C9AF,True,0.1,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,0.2,0.758823529411765,#F0BE93,True,0.2,9.0
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,,P0.2,0.935294117647059,#F9EFE4,True,0.2,11.0
Makeup Revolution,Conceal & Define Full Coverage Foundation,,F0.2,0.774509803921569,#E1CDAA,True,0.2,1.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,0.2,0.743137254901961,#E4B697,True,0.2,12.0
Clinique,Beyond Perfecting Powder Foundation + Concealer,Dune,0.25,0.917647058823529,#FBEED9,,0.25,
Ofra Cosmetics,Absolute Cover Foundation,,0.25,0.647058823529412,#C9AD81,True,0.25,13.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,0.3,0.784313725490196,#F4C59C,True,0.3,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,0.3,0.9,#F5E2D6,True,0.3,10.0
Makeup Revolution,Conceal & Define Full Coverage Foundation,,F0.3,0.688235294117647,#CDB392,True,0.3,1.0
TOM FORD,Traceless Soft Matte Foundation,Ivory Silk,0.3,0.792156862745098,#E4CCB0,True,0.3,3.0
TOM FORD,Traceless Foundation Stick,Ivory Silk,0.3,0.77843137254902,#EEC49F,True,0.3,5.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,0.3,0.733333333333333,#DAB49C,True,0.3,12.0
TOM FORD,Traceless Soft Matte Foundation,Rose,0.4,0.796078431372549,#E4C7B2,True,0.4,3.0
TOM FORD,Traceless Foundation Stick,Rose,0.4,0.688235294117647,#D3A58C,True,0.4,5.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,0.5,0.715686274509804,#E6AE87,True,0.5,9.0
bareMinerals,BAREPRO Performance Wear Powder Foundation,Porcelain,0.5,0.843137254901961,#FCC8B2,True,0.5,14.0
Clinique,Beyond Perfecting Powder Foundation + Concealer,Breeze,0.5,0.833333333333333,#F7C9B2,,0.5,
Makeup Revolution,Conceal & Define Full Coverage Foundation,,F0.5,0.827450980392157,#ECC7BA,True,0.5,1.0
Clinique,Beyond Perfecting Foundation + Concealer,Shell,CN 0.5,0.92156862745098,#F7EADF,,0.5,
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,,0.5,0.764705882352941,#DDC1A9,True,0.5,15.0
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,Porcelain,0.5,0.843137254901961,#FCC8B2,True,0.5,16.0
bareMinerals,BAREPRO Longwear Powder Foundation ,Porcelain,0.5,0.872549019607843,#FCD3C1,True,0.5,17.0
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,Porcelain,0.5,0.882352941176471,#FDD8C5,True,0.5,18.0
TOM FORD,Traceless Soft Matte Foundation,Porcelain,0.5,0.794117647058823,#E2CCB3,True,0.5,3.0
TOM FORD,Traceless Foundation Stick,Porcelain,0.5,0.864705882352941,#F8D5C1,True,0.5,5.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,0.5,0.719607843137255,#D2AB9D,True,0.5,12.0
Makeup Revolution,Conceal & Define Full Coverage Foundation,,F0.7,0.715686274509804,#D2B89B,True,0.7,1.0
Clinique,Beyond Perfecting Foundation + Concealer,Custard,CN 0.75,0.903921568627451,#F5E5D8,,0.75,
Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,,Shade 1,0.825490196078431,#F0D2B5,True,1.0,19.0
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,Fair Cool,Shade 1,0.817647058823529,#EACFB7,True,1.0,20.0
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,Fair Cool,Shade 1,0.803921568627451,#E3CFB7,True,1.0,21.0
NUDESTIX,Tinted Cover Foundation,Nude,1,0.898039215686275,#F3DFD7,True,1.0,22.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,1.0,0.701960784313725,#E5AC81,True,1.0,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,1.0,0.82156862745098,#F1C6B2,True,1.0,10.0
bareMinerals,Matte Foundation Broad Spectrum SPF 15,Fair,01,0.901960784313726,#FDE3CF,True,1.0,23.0
Makeup Revolution,Fast Base Stick Foundation,,F1,0.73921568627451,#D8BDA1,True,1.0,24.0
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,,P1,0.907843137254902,#F4E7DB,True,1.0,11.0
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,Fair,01,0.901960784313726,#FDE3CF,True,1.0,25.0
bareMinerals,BAREPRO Performance Wear Powder Foundation,Fair,01,0.837254901960784,#FBCDB0,True,1.0,14.0
Clinique,Almost Powder Makeup,Fair,01,0.950980392156863,#F4F3F1,,1.0,
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,Opal,01,0.801960784313726,#F3C1A6,True,1.0,26.0
