id_registro,marca,linha,id_produto_marca,nome_tom,subtom,categoria_tom_marca,codigo_hex,rgb_r,rgb_g,rgb_b,luminosidade_relativa,luminosidade_pct,grupo_luminosidade,peso_volume,unidade,cobertura,acabamento,textura,tipo_pele,vegano,cruelty_free,fps,ativo_destaque,tipo_hex,fonte_oficial,fonte_swatch,imagem_swatch_url,data_coleta,status_qualidade,observacao_metodologica,fase_coleta,versao_regua
1,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 100,Não informado pela fonte consultada,Régua 24 tons,#BE9F8A,190,159,138,"0,6434","64,34",Claro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
2,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 110,Não informado pela fonte consultada,Régua 24 tons,#C19C82,193,156,130,"0,6353","63,53",Claro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
3,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 120,Não informado pela fonte consultada,Régua 24 tons,#BF9B81,191,155,129,"0,6305","63,05",Claro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
4,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 130,Não informado pela fonte consultada,Régua 24 tons,#C49B7E,196,155,126,"0,6338","63,38",Claro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
5,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 140,Não informado pela fonte consultada,Régua 24 tons,#BE987E,190,152,126,"0,6204","62,04",Médio,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
6,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 150,Não informado pela fonte consultada,Régua 24 tons,#B38468,179,132,104,"0,5489","54,89",Médio,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
7,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 160,Não informado pela fonte consultada,Régua 24 tons,#B89175,184,145,117,"0,5932","59,32",Médio,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
8,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 170,Não informado pela fonte consultada,Régua 24 tons,#C59873,197,152,115,"0,6231","62,31",Médio,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
9,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 180,Não informado pela fonte consultada,Régua 24 tons,#B38263,179,130,99,"0,5419","54,19",Médio,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
10,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 190,Não informado pela fonte consultada,Régua 24 tons,#AD8165,173,129,101,"0,5346","53,46",Médio,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
